date,open,high,low,close,volume
1552561200000,3867,3867,3862.2,3862.2,2.28502691
1552564800000,3864.6,3865.8,3859.5,3859.5,2.10800695
1552568400000,3876.3,3877.3,3876.3,3877.3,0.72214056
1552572000000,3897,3897,3800.9,3870.8,19.56477141
1552611600000,3892,3892,3892,3892,0.0385676
1552626000000,3886.6,3886.6,3886.6,3886.6,0.13097128
1552629600000,3889.9,3890.3,3888.8,3888.8,0.28004476
1552633200000,3887.8,3889.1,3887.5,3887.5,0.11517716
1552647600000,3908.9,3920.8,3908.9,3920.8,5.12105788
1552654800000,3913.6,3920.7,3908,3908,0.48075539
1552658400000,3916.4,3916.4,3916.4,3916.4,0.00299222
1552662000000,3916.6,3932.9,3916.6,3932.9,0.41406942999999996
1552665600000,3925.4,3928.1,3923.3,3923.3,0.034345969999999997
1552669200000,3919.9,3930.6,3919.9,3930.6,0.10150586
1552672800000,3929.6,3929.6,3929.6,3929.6,0.51469023
1552680000000,3927.9,3927.9,3927.9,3927.9,1.01479161
1552694400000,3926.2,3926.2,3926.2,3926.2,0.45280634999999997
1552698000000,3942.8,3947.7,3941.6,3941.6,0.068059
1552701600000,3957.1,3957.1,3957.1,3957.1,0.11383347
1552705200000,3962.7,3990.3,3960.6,3975.5,1.79598164
1552708800000,4012.1,4044.6,4012.1,4040.7,7.50102158
1552716000000,4008.8,4011.2,4008.8,4011.2,0.73920511
1552723200000,4006.8,4006.8,4006.8,4006.8,0.03825
1552726800000,4009.1,4009.1,4009.1,4009.1,0.201
1552734000000,4020.3,4021,4019.7,4019.7,0.062233079999999996
1552737600000,3981.1,3981.1,3977.1,3977.1,0.37626587
1552741200000,3993.7,3993.7,3992.9,3992.9,4.20027311
1552755600000,3996.1,3996.1,3996.1,3996.1,0.33715372
1552759200000,3994,3994,3994,3994,0.05324903
1552777200000,4004.3,4004.3,4004.3,4004.3,0.97787768
1552780800000,3988.2,3990.2,3982.2,3982.2,22.27811288
1552788000000,3977.4,3977.4,3977.4,3977.4,0.1559356
1552824000000,3970,3977.2,3970,3977.2,0.00800043
1552834800000,3989.3,3989.3,3989.3,3989.3,1.19454496
1552838400000,3986.5,3986.5,3986.5,3986.5,0.02049331
1552867200000,3983.3,3999.6,3983.3,3999.6,0.528903
1552870800000,4007.7,4028.7,4007.7,4024.6,0.404
1552878000000,4014.1,4014.1,4014.1,4014.1,0.1
1552881600000,4013.2,4013.2,4003.6,4003.6,0.29854416
1552885200000,3993.1,3993.1,3972.3,3972.3,0.31
1552888800000,3976.3,3976.3,3976.3,3976.3,0.077629
1552892400000,3976,3976,3972.2,3972.2,1.46550561
1552896000000,3974.6,3986.7,3974.6,3986.7,0.14512826
1552899600000,3988.1,3988.5,3972.4,3972.4,8.50677082
1552903200000,3977.9,3977.9,3972.3,3972.3,0.1443501
1552906800000,3968.7,3968.7,3961.9,3965.9,0.20215802
1552910400000,3976.2,3981.6,3976.2,3980.9,0.10629999999999999
1552924800000,3977.3,3977.3,3977.3,3977.3,0.0025
1552935600000,3977,3977,3977,3977,0.00249
1552939200000,3986.6,3986.6,3986.6,3986.6,0.1
1552942800000,3991,3991,3991,3991,0.11199768
1552564800000,3864.6,3865.8,3859.5,3859.5,2.10800695
1552568400000,3876.3,3877.3,3876.3,3877.3,0.72214056
1552572000000,3897,3897,3800.9,3870.8,19.56477141
1552611600000,3892,3892,3892,3892,0.0385676
1552626000000,3886.6,3886.6,3886.6,3886.6,0.13097128
1552629600000,3889.9,3890.3,3888.8,3888.8,0.28004476
1552633200000,3887.8,3889.1,3887.5,3887.5,0.11517716
1552647600000,3908.9,3920.8,3908.9,3920.8,5.12105788
1552654800000,3913.6,3920.7,3908,3908,0.48075539
1552658400000,3916.4,3916.4,3916.4,3916.4,0.00299222
1552662000000,3916.6,3932.9,3916.6,3932.9,0.41406942999999996
1552665600000,3925.4,3928.1,3923.3,3923.3,0.034345969999999997
1552669200000,3919.9,3930.6,3919.9,3930.6,0.10150586
1552672800000,3929.6,3929.6,3929.6,3929.6,0.51469023
1552680000000,3927.9,3927.9,3927.9,3927.9,1.01479161
1552694400000,3926.2,3926.2,3926.2,3926.2,0.45280634999999997
1552698000000,3942.8,3947.7,3941.6,3941.6,0.068059
1552701600000,3957.1,3957.1,3957.1,3957.1,0.11383347
1552705200000,3962.7,3990.3,3960.6,3975.5,1.79598164
1552708800000,4012.1,4044.6,4012.1,4040.7,7.50102158
1552716000000,4008.8,4011.2,4008.8,4011.2,0.73920511
1552723200000,4006.8,4006.8,4006.8,4006.8,0.03825
1552726800000,4009.1,4009.1,4009.1,4009.1,0.201
1552734000000,4020.3,4021,4019.7,4019.7,0.062233079999999996
1552737600000,3981.1,3981.1,3977.1,3977.1,0.37626587
1552741200000,3993.7,3993.7,3992.9,3992.9,4.20027311
1552755600000,3996.1,3996.1,3996.1,3996.1,0.33715372
1552759200000,3994,3994,3994,3994,0.05324903
1552777200000,4004.3,4004.3,4004.3,4004.3,0.97787768
1552780800000,3988.2,3990.2,3982.2,3982.2,22.27811288
1552788000000,3977.4,3977.4,3977.4,3977.4,0.1559356
1552824000000,3970,3977.2,3970,3977.2,0.00800043
1552834800000,3989.3,3989.3,3989.3,3989.3,1.19454496
1552838400000,3986.5,3986.5,3986.5,3986.5,0.02049331
1552867200000,3983.3,3999.6,3983.3,3999.6,0.528903
1552870800000,4007.7,4028.7,4007.7,4024.6,0.404
1552878000000,4014.1,4014.1,4014.1,4014.1,0.1
1552881600000,4013.2,4013.2,4003.6,4003.6,0.29854416
1552885200000,3993.1,3993.1,3972.3,3972.3,0.31
1552888800000,3976.3,3976.3,3976.3,3976.3,0.077629
1552892400000,3976,3976,3972.2,3972.2,1.46550561
1552896000000,3974.6,3986.7,3974.6,3986.7,0.14512826
1552899600000,3988.1,3988.5,3972.4,3972.4,8.50677082
1552903200000,3977.9,3977.9,3972.3,3972.3,0.1443501
1552906800000,3968.7,3968.7,3961.9,3965.9,0.20215802
1552910400000,3976.2,3981.6,3976.2,3980.9,0.10629999999999999
1552924800000,3977.3,3977.3,3977.3,3977.3,0.0025
1552935600000,3977,3977,3977,3977,0.00249
1552939200000,3986.6,3986.6,3986.6,3986.6,0.1
1552942800000,3991,3991,3991,3991,0.11199768
1552953600000,3995,3995,3995,3995,0.05
1552957200000,3996.2,3997.4,3992.9,3992.9,1.1
1552960800000,3994.1,3995.3,3994.1,3995.2,2.0975499099999997
1552964400000,3994.1,3996.4,3992.9,3994.1,2.8
1552975200000,3987.3,3989.2,3983.6,3985.5,4.17692814
1552978800000,3981.9,3981.9,3979.4,3981.5,1.66375485
1552982400000,3980.3,3980.3,3980.3,3980.3,0.46933144
1552986000000,3981.1,3987.9,3981.1,3987.9,0.63349499
1552989600000,3996.5,3996.5,3996.2,3996.2,4.7299999999999995
1552993200000,3985.6,3985.6,3985.6,3985.6,0.28112188
1552996800000,3985.6,3985.6,3985.4,3985.4,2.52498014
1553004000000,3993,3993,3991.7,3991.7,0.020746149999999998
1553007600000,3992.9,3992.9,3992.9,3992.9,0.37210267
1553014800000,4017.4,4017.4,4011.3,4011.3,0.38480193
1553018400000,4012.8,4015.6,4012.8,4015.6,0.039780899999999994
1553040000000,4016.2,4016.2,3985.2,3987.1,1.68540328
1553043600000,3989.2,3989.2,3989.2,3989.2,0.1
1553047200000,3987.3,3989.1,3987.3,3989.1,0.43908499
1553058000000,4002.3,4002.3,4002.3,4002.3,0.01840578
1553061600000,4002.3,4002.3,4001,4002.3,0.19154657
1553065200000,4002.3,4012.7,4002.3,4012.7,0.0501314
1553068800000,4008.1,4012.7,4008.1,4012.7,0.95947727
1553072400000,4008.6,4008.6,3994.8,3994.8,12.914998989999999
1553076000000,3994.8,4008.2,3987.6,4008.2,6.86902237
1553079600000,4010.5,4010.5,4010.5,4010.5,0.128
1553083200000,4006.6,4015.4,4006.6,4015.4,0.093659
1553086800000,4012.5,4012.5,4010.6,4010.6,0.06847500000000001
1553090400000,4011.4,4011.4,4006.6,4011.1,0.017515000000000003
1553094000000,4021.2,4021.2,4021.2,4021.2,0.07574493
1553097600000,4021.2,4021.2,4017.1,4017.1,0.12425507000000001
1553119200000,4043.9,4043.9,4034.3,4034.3,1.02623015
1553137200000,4037,4041,4037,4040.7,7.03977405
1553140800000,4032.9,4032.9,4029.5,4032.4,75.89205886
1553144400000,4027.7,4027.7,4025.1,4025.1,49.63469796
1553148000000,4029.5,4029.5,4028.8,4028.8,1.02573027
1553155200000,4043.6,4043.6,4043.6,4043.6,0.01
1553158800000,4039.1,4039.1,4039.1,4039.1,0.044
1553162400000,4033.1,4033.1,4033.1,4033.1,0.0057973
1553169600000,4052.6,4052.6,4052.6,4052.6,0.00312281
1553173200000,4024.5,4024.5,4008.5,4008.5,0.124956
1553176800000,4012.9,4012.9,3915.9,3928.6,9.65886443
1553180400000,3933.6,3975.3,3932,3962.9,16.85562671
1553187600000,3968.7,3969.2,3968.7,3969.2,1
1553198400000,3977.6,3977.6,3977.6,3977.6,0.04
1553202000000,3983.7,3983.7,3983.7,3983.7,0.00843481
1553209200000,3989.5,3989.7,3982.1,3983.7,9.36178068
1553212800000,3985.5,3987.3,3978.1,3987.3,1.725742
1553216400000,3991.5,3991.5,3989,3989,0.82767799
1553227200000,3980.1,3980.1,3978.6,3978.6,1.25864725
1553234400000,3980.7,3980.7,3980.7,3980.7,0.0552
1552924800000,3977.3,3977.3,3977.3,3977.3,0.0025
1552935600000,3977,3977,3977,3977,0.00249
1552939200000,3986.6,3986.6,3986.6,3986.6,0.1
1552942800000,3991,3991,3991,3991,0.11199768
1552953600000,3995,3995,3995,3995,0.05
1552957200000,3996.2,3997.4,3992.9,3992.9,1.1
1552960800000,3994.1,3995.3,3994.1,3995.2,2.0975499099999997
1552964400000,3994.1,3996.4,3992.9,3994.1,2.8
1552975200000,3987.3,3989.2,3983.6,3985.5,4.17692814
1552978800000,3981.9,3981.9,3979.4,3981.5,1.66375485
1552982400000,3980.3,3980.3,3980.3,3980.3,0.46933144
1552986000000,3981.1,3987.9,3981.1,3987.9,0.63349499
1552989600000,3996.5,3996.5,3996.2,3996.2,4.7299999999999995
1552993200000,3985.6,3985.6,3985.6,3985.6,0.28112188
1552996800000,3985.6,3985.6,3985.4,3985.4,2.52498014
1553004000000,3993,3993,3991.7,3991.7,0.020746149999999998
1553007600000,3992.9,3992.9,3992.9,3992.9,0.37210267
1553014800000,4017.4,4017.4,4011.3,4011.3,0.38480193
1553018400000,4012.8,4015.6,4012.8,4015.6,0.039780899999999994
1553040000000,4016.2,4016.2,3985.2,3987.1,1.68540328
1553043600000,3989.2,3989.2,3989.2,3989.2,0.1
1553047200000,3987.3,3989.1,3987.3,3989.1,0.43908499
1553058000000,4002.3,4002.3,4002.3,4002.3,0.01840578
1553061600000,4002.3,4002.3,4001,4002.3,0.19154657
1553065200000,4002.3,4012.7,4002.3,4012.7,0.0501314
1553068800000,4008.1,4012.7,4008.1,4012.7,0.95947727
1553072400000,4008.6,4008.6,3994.8,3994.8,12.914998989999999
1553076000000,3994.8,4008.2,3987.6,4008.2,6.86902237
1553079600000,4010.5,4010.5,4010.5,4010.5,0.128
1553083200000,4006.6,4015.4,4006.6,4015.4,0.093659
1553086800000,4012.5,4012.5,4010.6,4010.6,0.06847500000000001
1553090400000,4011.4,4011.4,4006.6,4011.1,0.017515000000000003
1553094000000,4021.2,4021.2,4021.2,4021.2,0.07574493
1553097600000,4021.2,4021.2,4017.1,4017.1,0.12425507000000001
1553119200000,4043.9,4043.9,4034.3,4034.3,1.02623015
1553137200000,4037,4041,4037,4040.7,7.03977405
1553140800000,4032.9,4032.9,4029.5,4032.4,75.89205886
1553144400000,4027.7,4027.7,4025.1,4025.1,49.63469796
1553148000000,4029.5,4029.5,4028.8,4028.8,1.02573027
1553155200000,4043.6,4043.6,4043.6,4043.6,0.01
1553158800000,4039.1,4039.1,4039.1,4039.1,0.044
1553162400000,4033.1,4033.1,4033.1,4033.1,0.0057973
1553169600000,4052.6,4052.6,4052.6,4052.6,0.00312281
1553173200000,4024.5,4024.5,4008.5,4008.5,0.124956
1553176800000,4012.9,4012.9,3915.9,3928.6,9.65886443
1553180400000,3933.6,3975.3,3932,3962.9,16.85562671
1553187600000,3968.7,3969.2,3968.7,3969.2,1
1553198400000,3977.6,3977.6,3977.6,3977.6,0.04
1553202000000,3983.7,3983.7,3983.7,3983.7,0.00843481
1553209200000,3989.5,3989.7,3982.1,3983.7,9.36178068
1553212800000,3985.5,3987.3,3978.1,3987.3,1.725742
1553216400000,3991.5,3991.5,3989,3989,0.82767799
1553227200000,3980.1,3980.1,3978.6,3978.6,1.25864725
1553234400000,3980.7,3980.7,3980.7,3980.7,0.0552
1553241600000,3983.7,3988.6,3980.8,3988.6,1.05536947
1553245200000,3987.1,3993.2,3982,3982,2.3655975
1553266800000,3990.1,3990.1,3990.1,3990.1,0.02
1553274000000,3999.9,3999.9,3999.9,3999.9,0.182
1553284800000,3999.2,4000,3990,3990,24.9096059
1553288400000,3987.7,3987.7,3987.7,3987.7,0.45510002
1553299200000,3984.9,3984.9,3984.9,3984.9,0.00226379
1553302800000,3988,3988,3988,3988,0.0262152
1553306400000,4003.7,4004.3,4003.7,4004.2,0.76250961
1553310000000,4004.2,4004.2,4004.2,4004.2,0.23749039
1553331600000,4010,4010,4010,4010,0.25
1553335200000,4008.6,4008.6,3987.1,3987.1,0.32072931
1553346000000,3988.2,3989.8,3988.2,3989.8,0.04983939
1553378400000,3998.1,3998.1,3998.1,3998.1,0.0067
1553385600000,3995.2,3998.1,3995.2,3998.1,1.64630273
1553389200000,3998,3998,3998,3998,0.13229601000000002
1553414400000,3984,3984,3984,3984,0.03701875
1553421600000,3995.7,3998.1,3995.7,3998.1,2.35
1553432400000,3994.4,3994.4,3994.2,3994.2,0.12
1553454000000,3986.9,3986.9,3986.9,3986.9,1.5689
1553457600000,3963.8,3979.5,3963.8,3978.1,2.21676241
1553472000000,3984.9,3984.9,3984.6,3984.6,0.8837099399999999
1553475600000,3990.6,3990.6,3990.6,3990.6,0.03436164
1553486400000,3990.9,3992.4,3989,3990.6,5.0005991
1553497200000,3990.7,3990.7,3988.9,3988.9,1.57599966
1553500800000,3992.7,3994.4,3992.7,3994.4,0.04861151
1553508000000,3984.4,3984.4,3982.4,3982.4,1.4999587600000002
1553511600000,3986.1,3986.1,3986.1,3986.1,0.59
1553518800000,3986.8,3986.8,3986.8,3986.8,0.05171152
1553522400000,3982.7,3982.9,3982.7,3982.9,1.63239997
1553526000000,3979.9,3979.9,3965.7,3965.7,0.03126352
1553529600000,3973.2,3973.2,3973.2,3973.2,0.03899883
1553533200000,3978.3,3978.3,3963.5,3964.5,13.90937487
1553536800000,3960.9,3964.1,3907.3,3907.3,3.4523967300000002
1553540400000,3919.6,3923.8,3888.8,3923.8,1.13364423
1553544000000,3903.1,3903.1,3903.1,3903.1,1
1553547600000,3911,3911,3904.7,3905.1,4.56846746
1553551200000,3913,3926.9,3913,3926.9,1.75264852
1553554800000,3934.8,3940.3,3934.4,3936.6,2.51512169
1553558400000,3942.2,3942.2,3942.2,3942.2,0.65257888
1553565600000,3943.3,3945.1,3943.3,3945.1,0.26906610000000003
1553576400000,3941.3,3941.3,3941.3,3941.3,0.03426481
1553587200000,3929.9,3930,3929.9,3930,0.10232035
1553594400000,3928,3928,3928,3928,1.0313169
1553601600000,3917.6,3917.6,3906,3906,1.29834184
1553616000000,3940.2,3940.2,3940.2,3940.2,1.26871352
1553284800000,3999.2,4000,3990,3990,24.9096059
